id,company,amount,ucs,potency,link
1,AMAZONAS ENERGIA S.A (AME),437,518,5.268,gd_distribuidora_detalhe.asp?distribuidora=5600
2,AMPLA ENERGIA E SERVIÇOS S.A. (ENEL RJ),5,6,36.446,gd_distribuidora_detalhe.asp?distribuidora=333
3,CEB DISTRIBUIÇÃO S.A. (CEBDIS),1,1,20.592,gd_distribuidora_detalhe.asp?distribuidora=3840
4,CELESC DISTRIBUIÇÃO S.A (CELESC-DIS),5,6,58.29200000000001,gd_distribuidora_detalhe.asp?distribuidora=4263
5,CELG DISTRIBUIÇÃO S.A. (CELG-D),5,7,71.268,gd_distribuidora_detalhe.asp?distribuidora=4644
6,CEMIG DISTRIBUIÇÃO S.A (CEMIG-D),31,53,376.79299999999995,gd_distribuidora_detalhe.asp?distribuidora=3745
7,CENTRAIS ELÉTRICAS DE CARAZINHO SA (ELETROCAR),346,572,4.083,gd_distribuidora_detalhe.asp?distribuidora=444
8,CENTRAIS ELÉTRICAS DO PARÁ S.A. - CELPA (CELPA),1,1,18.026,gd_distribuidora_detalhe.asp?distribuidora=141
9,CERSUL - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA (CERSUL),23,32,1.647,gd_distribuidora_detalhe.asp?distribuidora=3976
10,Companhia Campolarguense de Energia (COCEL),50,52,372,gd_distribuidora_detalhe.asp?distribuidora=403
11,COMPANHIA DE ELETRICIDADE DO AMAPÁ (CEA),145,172,2.54,gd_distribuidora_detalhe.asp?distribuidora=151
12,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA (COELBA),3,5,43.232000000000006,gd_distribuidora_detalhe.asp?distribuidora=281
13,COMPANHIA ENERGÉTICA DE ALAGOAS - CEAL (CEAL),919,1,11.387,gd_distribuidora_detalhe.asp?distribuidora=261
14,COMPANHIA ENERGÉTICA DE PERNAMBUCO (CELPE),2,4,42.415,gd_distribuidora_detalhe.asp?distribuidora=251
15,Companhia Energética de Roraima (CERR),52,75,899,gd_distribuidora_detalhe.asp?distribuidora=131
16,COMPANHIA ENERGÉTICA DO CEARÁ (ENEL CE),3,4,71.16199999999999,gd_distribuidora_detalhe.asp?distribuidora=221
17,COMPANHIA ENERGÉTICA DO MARANHÃO (CEMAR),2,2,28.338,gd_distribuidora_detalhe.asp?distribuidora=201
18,COMPANHIA ENERGÉTICA DO PIAUÍ (CEPISA),1,2,25.311000000000003,gd_distribuidora_detalhe.asp?distribuidora=211
19,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN (COSERN),2,2,34.769000000000005,gd_distribuidora_detalhe.asp?distribuidora=231
20,COMPANHIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - CEEE-D (CEEE-D),2,2,26.254,gd_distribuidora_detalhe.asp?distribuidora=4273
21,COMPANHIA HIDROELÉTRICA SÃO PATRÍCIO - CHESP (CHESP),83,123,1.363,gd_distribuidora_detalhe.asp?distribuidora=522
22,COMPANHIA JAGUARI DE ENERGIA (CPFL Jaguari),945,1,9.32,gd_distribuidora_detalhe.asp?distribuidora=350
23,COMPANHIA LESTE PAULISTA DE ENERGIA (CPFL Leste Paulista),16,20,61,gd_distribuidora_detalhe.asp?distribuidora=353
24,Companhia Luz e Força de Mococa (CPFL Mococa),9,14,46,gd_distribuidora_detalhe.asp?distribuidora=351
25,Companhia Luz e Força Santa Cruz (CPFL Santa Cruz),83,88,228,gd_distribuidora_detalhe.asp?distribuidora=354
26,COMPANHIA PAULISTA DE FORÇA E LUZ (CPFL-PAULISTA),9,10,79.543,gd_distribuidora_detalhe.asp?distribuidora=343
27,COMPANHIA PIRATININGA DE FORÇA E LUZ (CPFL- PIRATININGA),1,1,13.552000000000001,gd_distribuidora_detalhe.asp?distribuidora=365
28,Companhia Sul Paulista de Energia (CPFL Sul Paulista),8,10,68,gd_distribuidora_detalhe.asp?distribuidora=356
29,COMPANHIA SUL SERGIPANA DE ELETRICIDADE (SULGIPE),27,31,285,gd_distribuidora_detalhe.asp?distribuidora=272
30,COOPERATIVA ALIANÇA (COOPERALIANÇA),21,22,128,gd_distribuidora_detalhe.asp?distribuidora=426
31,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS - CERAL (CERAL),3,3,11,gd_distribuidora_detalhe.asp?distribuidora=3958
32,COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA DE CASTRO (CASTRO - DIS),6,7,115,gd_distribuidora_detalhe.asp?distribuidora=10842
